_runtime,_timestamp,val/moe_loss,train/moe_loss,_step,mAP50-95,val/box_loss,train/box_loss,mAP50,val/cls_loss,train/cls_loss,epoch
22.282131612,1784741769.41867,0,2.97685,1,0.0,3.80761,3.89378,0.0,6.31865,6.56879,1
31.372777551,1784741779.762288,0,1.98676,2,0.0,3.88654,3.24991,0.0,6.16708,5.08825,2
40.882994134,1784741788.8529723,0,1.58791,3,0.0,4.00155,2.67832,0.0,5.58181,3.91674,3
50.404826783,1784741798.3631616,0,1.38018,4,0.0,3.65592,2.32746,0.0,4.98308,3.12354,4
59.93157394,1784741807.88504,0,1.25845,5,0.02854,2.36893,1.9913,0.07605,4.00307,2.4615,5
69.472641488,1784741817.411762,0,1.18136,6,0.08292,1.99136,1.79619,0.16523,3.23409,2.06458,6
79.013094658,1784741826.9528534,0,1.13071,7,0.18978,1.73787,1.65549,0.36978,2.15426,1.85065,7
88.563947877,1784741836.4932923,0,1.09612,8,0.19793,1.58781,1.58262,0.35069,2.24112,1.74235,8
98.14526905,1784741846.0441833,0,1.07036,9,0.21248,1.52092,1.50658,0.37236,1.87827,1.6808,9
107.709259288,1784741855.6254334,0,1.0524,10,0.25743,1.41322,1.48107,0.42016,1.89317,1.6282,10
117.186347974,1784741865.189464,0,1.03861,11,0.30444,1.32703,1.42007,0.4909,1.54493,1.5619,11
126.678908191,1784741874.6665306,0,1.02877,12,0.26382,1.39111,1.41542,0.43912,1.91287,1.51335,12
136.193488015,1784741884.1590014,0,1.02141,13,0.29534,1.29304,1.34126,0.47903,1.53294,1.50851,13
145.656365366,1784741893.6735528,0,1.01635,14,0.29043,1.33641,1.32465,0.46193,1.52501,1.45577,14
155.158184631,1784741903.1365128,0,1.01185,15,0.28922,1.30331,1.34829,0.45386,1.52727,1.42041,15
164.716296089,1784741912.6382308,0,1.00878,16,0.27992,1.41275,1.26119,0.44239,2.04548,1.37498,16
174.279969449,1784741922.1963854,0,1.00664,17,0.28046,1.31985,1.27414,0.44315,1.60168,1.38298,17
183.772598321,1784741931.7600753,0,1.00522,18,0.32644,1.14636,1.25379,0.48458,1.42411,1.37507,18
193.268404385,1784741941.2528095,0,1.00366,19,0.29677,1.16511,1.24474,0.44347,1.43898,1.35111,19
202.807923635,1784741950.7486258,0,1.0027,20,0.32591,1.21628,1.20115,0.49679,1.36579,1.32185,20
212.285625464,1784741960.2881236,0,1.00198,21,0.33937,1.20712,1.24431,0.49495,1.46907,1.30966,21
221.82461724,1784741969.7658122,0,1.00184,22,0.32897,1.21418,1.2334,0.49055,1.37991,1.30004,22
231.334868388,1784741979.3048062,0,1.00109,23,0.32107,1.18905,1.22187,0.49674,1.34018,1.27894,23
240.806525724,1784741988.8150358,0,1.00081,24,0.33571,1.15428,1.17772,0.50258,1.43049,1.25285,24
250.300511935,1784741998.2867634,0,1.00066,25,0.30642,1.24197,1.19381,0.47187,1.31858,1.27026,25
259.837770717,1784742007.7807965,0,1.00054,26,0.33521,1.20836,1.20159,0.50649,1.43482,1.26137,26
269.319704219,1784742017.3179433,0,1.00065,27,0.35243,1.13536,1.17433,0.49862,1.37388,1.24132,27
278.844854377,1784742026.799906,0,1.00029,28,0.34651,1.12605,1.17324,0.51451,1.34845,1.23771,28
288.324684707,1784742036.3250532,0,1.00023,29,0.31034,1.15806,1.16984,0.46511,1.34945,1.24632,29
297.808525929,1784742045.8048534,0,1.00005,30,0.35163,1.1543,1.20711,0.51503,1.25442,1.2474,30
307.316646205,1784742055.2887292,0,0.99987,31,0.32738,1.188,1.16393,0.49157,1.24711,1.23702,31
316.812547976,1784742064.796893,0,0.9999,32,0.37109,1.11678,1.12201,0.52074,1.30736,1.23126,32
326.295527895,1784742074.2926686,0,0.99995,33,0.30078,1.23491,1.12989,0.47346,1.37884,1.21417,33
335.770652019,1784742083.7756464,0,1.00006,34,0.33889,1.07271,1.11227,0.4844,1.2646,1.17653,34
345.241866395,1784742093.250785,0,1.00007,35,0.31523,1.17562,1.10149,0.47839,1.29998,1.18809,35
354.702048485,1784742102.722163,0,1.00023,36,0.35899,1.15859,1.07893,0.53163,1.24561,1.17877,36
364.231671448,1784742112.1822853,0,1.00007,37,0.3585,1.13556,1.13138,0.52442,1.25176,1.18257,37
373.731792247,1784742121.7118828,0,1.0001,38,0.38093,1.05558,1.09226,0.55154,1.2842,1.14925,38
383.243744121,1784742131.21198,0,0.99993,39,0.36216,1.10009,1.10725,0.52217,1.31743,1.15864,39
392.736528209,1784742140.7239318,0,0.99997,40,0.34796,1.10652,1.11853,0.51825,1.27735,1.16155,40
402.248145005,1784742150.2167234,0,1.00014,41,0.33308,1.12204,1.08866,0.5007,1.29616,1.15244,41
411.75914,1784742159.728383,0,0.99983,42,0.37414,1.0696,1.05962,0.53562,1.24783,1.15734,42
421.262449745,1784742169.239411,0,0.99983,43,0.3235,1.11511,1.0784,0.48178,1.26415,1.1289,43
430.759901781,1784742178.7426717,0,1.00007,44,0.31993,1.14069,1.03969,0.46426,1.30047,1.12637,44
440.275540717,1784742188.2402046,0,1.0001,45,0.36438,1.04534,1.0772,0.51735,1.3182,1.13665,45
449.81113414,1784742197.7557735,0,0.99994,46,0.31945,1.10318,1.09098,0.47911,1.31106,1.12724,46
459.303941081,1784742207.291176,0,1.00007,47,0.35474,1.06508,1.03693,0.50537,1.22231,1.11505,47
468.793182817,1784742216.7841866,0,1.0,48,0.3106,1.09087,1.02847,0.45589,1.29757,1.10274,48
478.312448234,1784742226.2733626,0,1.00005,49,0.32725,1.10069,1.05388,0.46704,1.42482,1.10588,49
487.835260215,1784742235.7924762,0,0.99999,50,0.29899,1.07969,1.05003,0.44005,1.27246,1.10608,50
497.326846481,1784742245.3154156,0,0.99983,51,0.32586,1.09637,1.06612,0.48346,1.25454,1.11501,51
506.828891681,1784742254.8071005,0,0.99997,52,0.32569,1.06077,1.05968,0.47602,1.33626,1.10454,52
516.306352308,1784742264.3091419,0,1.00007,53,0.32115,1.1283,1.00652,0.49094,1.35072,1.09599,53
