val/box_loss,val/cls_loss,train/moe_loss,_timestamp,val/moe_loss,train/box_loss,_runtime,_step,epoch,mAP50,train/cls_loss,mAP50-95
3.82498,6.29907,3.22962,1784738836.2504325,0,3.64264,42.71908549,1,1,0.0,6.2715,0.0
3.95951,6.04349,2.05365,1784738855.1162188,0,3.07839,57.907481888,2,2,0.0,4.90186,0.0
3.72098,5.30771,1.62175,1784738870.3044844,0,2.67031,73.505844238,3,3,0.0,3.73759,0.0
2.93741,4.65205,1.40092,1784738885.9030092,0,2.41012,88.269924585,4,4,0.01163,2.98097,0.00447
2.74201,3.83523,1.26629,1784738900.6670303,0,2.10946,106.321733278,5,5,0.0587,2.3956,0.02119
1.90963,3.74422,1.18577,1784738918.7188647,0,1.83098,124.73598066,6,6,0.08958,2.06996,0.04111
1.70339,2.33205,1.12746,1784738937.1329885,0,1.69298,142.958855583,7,7,0.32936,1.85591,0.18186
1.78812,2.85489,1.09043,1784738955.3559945,0,1.6235,161.016222106,8,8,0.14206,1.77027,0.06802
1.44226,1.79134,1.06395,1784738973.4133441,0,1.54544,179.850753747,9,9,0.39909,1.71162,0.23535
1.38874,1.67767,1.04272,1784738992.2471719,0,1.54325,198.708162622,10,10,0.4257,1.63579,0.26404
1.31028,1.5757,1.02879,1784739011.1052666,0,1.45378,211.751114552,11,11,0.45083,1.5519,0.29241
1.55899,2.85054,1.01852,1784739024.1483102,0,1.49629,222.426498834,12,12,0.3138,1.55176,0.18928
1.39804,1.49893,1.00935,1784739034.8241236,0,1.40581,232.972866055,13,13,0.46453,1.50279,0.27242
1.34866,1.60266,1.00469,1784739045.3704743,0,1.35833,248.855468886,14,14,0.43346,1.47783,0.26982
1.27652,1.46692,1.00143,1784739061.2516496,0,1.3648,267.456631757,15,15,0.4618,1.44609,0.2961
1.31788,1.64662,0.99693,1784739079.8533514,0,1.30665,285.951250507,16,16,0.47989,1.39509,0.30539
1.36289,1.53439,0.99595,1784739098.3484762,0,1.31084,301.284133467,17,17,0.44091,1.41943,0.28534
1.25712,1.4162,0.99428,1784739113.681785,0,1.30431,311.857279996,18,18,0.45595,1.39665,0.28253
1.27842,1.53427,0.99154,1784739124.2549353,0,1.30276,322.597730571,19,19,0.44631,1.37422,0.28211
1.22344,1.41802,0.98992,1784739134.9953468,0,1.26601,334.959337933,20,20,0.47435,1.36335,0.31061
1.22596,1.48559,0.98888,1784739147.3564074,0,1.29873,353.025035786,21,21,0.45995,1.34288,0.30529
1.24934,1.45195,0.98861,1784739165.4222085,0,1.26497,370.855540532,22,22,0.46917,1.32955,0.29639
1.25259,1.65009,0.98966,1784739183.2526367,0,1.27844,388.794883922,23,23,0.43127,1.31029,0.28925
1.19406,1.39633,0.98907,1784739201.19233,0,1.22881,399.41690835,24,24,0.49645,1.29698,0.34003
1.25817,1.31861,0.98882,1784739211.8142328,0,1.25243,410.153929841,25,25,0.48902,1.30275,0.31004
1.15123,1.43033,0.98753,1784739222.5514898,0,1.23549,420.76861296,26,26,0.50958,1.28841,0.35064
1.17207,1.33205,0.98876,1784739233.166288,0,1.2287,438.140179534,27,27,0.47121,1.28398,0.32097
1.16383,1.40489,0.98886,1784739250.5368383,0,1.21693,456.733953023,28,28,0.45936,1.29065,0.30613
1.48635,2.38454,0.98955,1784739269.1308262,0,1.20564,474.963295926,29,29,0.43481,1.29467,0.25183
1.18282,1.29002,0.98788,1784739287.3602543,0,1.20393,487.534484219,30,30,0.51174,1.2813,0.33354
1.20955,1.40097,0.98718,1784739299.9320993,0,1.192,498.039530505,31,31,0.50255,1.29015,0.33167
1.13255,1.33748,0.98814,1784739310.437167,0,1.19451,508.528681464,32,32,0.49875,1.28752,0.33483
1.11357,1.27662,0.99011,1784739320.926159,0,1.18129,523.438204022,33,33,0.48296,1.2565,0.32715
1.15628,1.3856,0.98781,1784739335.8352468,0,1.14293,541.777826203,34,34,0.49675,1.2167,0.33065
1.16964,1.28569,0.98949,1784739354.1749792,0,1.16256,559.928531882,35,35,0.49495,1.24373,0.3234
1.08419,1.31952,0.9881,1784739372.3255904,0,1.13854,575.74330562,36,36,0.46193,1.21445,0.31484
1.15639,1.24435,0.98871,1784739388.1407957,0,1.1531,586.172122996,37,37,0.4937,1.20896,0.32515
1.13845,1.28031,0.98958,1784739398.5697956,0,1.13125,596.587552496,38,38,0.51421,1.20287,0.34854
1.20484,1.94262,0.98936,1784739408.9851367,0,1.1554,608.485895693,39,39,0.4785,1.2232,0.33755
1.11099,1.25671,0.98756,1784739420.8825364,0,1.1792,626.808406709,40,40,0.53051,1.23149,0.3639
1.13647,1.31461,0.98934,1784739439.20535,0,1.13143,644.459226838,41,41,0.52816,1.20968,0.35426
1.13029,1.40866,0.98854,1784739456.856382,0,1.11436,662.641235222,42,42,0.50025,1.20125,0.33297
1.11082,1.20862,0.98875,1784739475.0388925,0,1.12818,673.06686166,43,43,0.51475,1.18417,0.34493
1.14023,1.2373,0.99092,1784739485.4644508,0,1.0997,683.494284246,44,44,0.49205,1.19646,0.33308
1.11741,1.35158,0.98921,1784739495.8919244,0,1.10859,693.943661431,45,45,0.49123,1.18519,0.34566
1.19543,1.38178,0.98897,1784739506.3412926,0,1.11514,710.539186084,46,46,0.47367,1.18385,0.30803
1.09252,1.25964,0.98807,1784739522.9363346,0,1.08025,728.402159479,47,47,0.49203,1.17153,0.34207
