_step,val/box_loss,val/moe_loss,_runtime,train/cls_loss,epoch,train/moe_loss,mAP50-95,mAP50,train/box_loss,val/cls_loss,_timestamp
1,3.62549,0,27.212416896,4.63331,1,2.80341,0.00013,0.00051,3.6364,4.73248,1784735495.2385886
2,3.6217,0,194.888387148,4.40984,2,1.79187,0.00025,0.00099,3.60557,4.71859,1784735507.311835
3,3.57551,0,206.510398068,4.0279,3,1.44019,0.00126,0.00469,3.4541,4.71484,1784735674.987893
4,3.1518,0,218.14166706,3.64306,4,1.2635,0.00642,0.02481,3.14733,3.98267,1784735686.6099272
5,2.91351,0,229.823897625,3.27053,5,1.16439,0.01632,0.05247,2.92639,3.57569,1784735698.2411602
6,2.96937,0,241.453334335,3.02119,6,1.10655,0.02127,0.06807,2.7678,3.61313,1784735709.9234276
7,2.67413,0,253.167822666,2.84928,7,1.07022,0.04333,0.11922,2.63671,3.17815,1784735721.5528786
8,2.59489,0,264.900200553,2.68457,8,1.0473,0.07124,0.1815,2.49562,2.96446,1784735733.2673094
9,2.44366,0,276.626955043,2.55639,9,1.03232,0.08571,0.2116,2.4025,2.84238,1784735744.9997573
10,2.4113,0,288.321830731,2.50878,10,1.02201,0.10015,0.24754,2.37868,2.78963,1784735756.726462
11,2.35784,0,299.974156711,2.44203,11,1.01516,0.10742,0.25008,2.31202,2.62594,1784735768.421361
12,2.29793,0,311.711617534,2.32998,12,1.01036,0.11794,0.26311,2.25093,2.58264,1784735780.0736904
13,2.25322,0,323.48590812,2.27666,13,1.00717,0.12362,0.28842,2.21381,2.49239,1784735791.8110726
14,2.29105,0,335.212447586,2.23489,14,1.00482,0.11975,0.2783,2.20169,2.51919,1784735803.5853307
15,2.2036,0,346.857315699,2.1569,15,1.00344,0.12947,0.29119,2.16886,2.36657,1784735815.3119917
16,2.19584,0,358.551157812,2.0887,16,1.00265,0.13353,0.30366,2.11754,2.34401,1784735826.9568465
17,2.16496,0,370.233770203,2.09376,17,1.00153,0.13953,0.31293,2.11875,2.26565,1784735838.6506946
18,2.16315,0,381.877470458,2.05133,18,1.00102,0.14663,0.32349,2.10536,2.21349,1784735850.3332438
19,2.19105,0,393.493419266,1.98799,19,1.00061,0.14478,0.3209,2.06837,2.26535,1784735861.9770255
20,2.20045,0,405.119748984,1.98705,20,1.00049,0.15116,0.33911,2.05918,2.14906,1784735873.5929477
21,2.13031,0,416.823451421,1.94537,21,1.00026,0.15318,0.34,2.02843,2.13303,1784735885.2191527
22,2.0948,0,428.460129444,1.9246,22,1.00025,0.1562,0.34362,2.01653,2.06998,1784735896.9229867
23,2.14999,0,445.581963409,1.89922,23,1.00016,0.16087,0.3558,2.01324,2.07394,1784735908.5596023
24,2.10306,0,460.286873662,1.85486,24,1.00009,0.16299,0.36177,1.99078,2.01594,1784735925.6809154
25,2.06212,0,471.845959845,1.87603,25,1.00003,0.17157,0.38019,1.99228,1.99156,1784735940.3863966
26,2.10997,0,483.486561972,1.82581,26,1.00002,0.16453,0.36254,1.96668,2.09879,1784735951.9455218
27,2.05379,0,495.09607208,1.78929,27,1.0,0.17478,0.37126,1.96781,1.93588,1784735963.586026
28,2.05114,0,506.715037927,1.80651,28,0.99992,0.18168,0.3995,1.96912,1.91135,1784735975.1955743
29,2.05247,0,518.347426461,1.76849,29,0.99992,0.1774,0.37852,1.9398,1.93221,1784735986.8145716
30,2.04395,0,529.934173672,1.75909,30,1.00007,0.17819,0.37843,1.94539,1.98146,1784735998.4469771
31,2.05332,0,541.513855092,1.70384,31,1.00001,0.18847,0.402,1.91056,1.83136,1784736010.033741
32,2.08318,0,553.056795892,1.67964,32,0.99996,0.17985,0.38588,1.88691,1.92848,1784736021.6133924
33,2.07965,0,564.617052715,1.70473,33,0.99996,0.178,0.38151,1.90019,1.88504,1784736033.1562867
34,2.04424,0,576.220172108,1.70135,34,1.00008,0.19582,0.41718,1.89632,1.81743,1784736044.716669
35,2.0145,0,587.75373475,1.65282,35,1.00014,0.19644,0.41489,1.89515,1.83366,1784736056.3197322
36,2.012,0,599.407022419,1.69622,36,0.99996,0.19526,0.40362,1.90346,1.85194,1784736067.8532693
37,1.99157,0,611.008587461,1.6542,37,0.99995,0.19767,0.41849,1.87629,1.76072,1784736079.5065708
38,2.03237,0,622.509669912,1.65191,38,0.99994,0.18889,0.40606,1.88904,1.90392,1784736091.1081157
39,2.03562,0,634.052062149,1.63223,39,0.99994,0.19012,0.39833,1.87096,1.85566,1784736102.609214
40,2.0493,0,645.55092239,1.62374,40,1.00008,0.19693,0.42087,1.85757,1.7851,1784736114.151614
41,2.037,0,657.111668498,1.61585,41,0.99997,0.19633,0.41011,1.86712,1.79199,1784736125.650512
42,1.96716,0,668.71515346,1.62218,42,0.99998,0.20403,0.42129,1.86627,1.74616,1784736137.2112281
43,2.00351,0,680.360518157,1.60137,43,1.00007,0.21587,0.44763,1.83323,1.71424,1784736148.8146691
44,1.98112,0,691.862194176,1.58037,44,0.99993,0.21362,0.45348,1.82096,1.67223,1784736160.460081
45,2.01752,0,703.362561308,1.52293,45,1.00001,0.19642,0.42024,1.81421,1.75745,1784736171.9615986
46,1.96805,0,714.883029166,1.5694,46,0.99997,0.20943,0.43806,1.83451,1.70748,1784736183.46214
47,1.97605,0,726.441486037,1.5481,47,0.99995,0.20898,0.4341,1.81086,1.71092,1784736194.9824648
48,1.97364,0,738.042869362,1.53898,48,1.0,0.21047,0.4431,1.80715,1.7106,1784736206.5410612
49,1.94811,0,749.656728496,1.53571,49,1.0,0.22187,0.46466,1.79176,1.64242,1784736218.1424553
50,1.96647,0,761.161355844,1.5103,50,0.99996,0.21048,0.44622,1.80026,1.65667,1784736229.7562687
51,1.96795,0,772.684612,1.50809,51,0.99995,0.2144,0.45593,1.79661,1.66092,1784736241.2609687
52,1.96839,0,784.263939449,1.50278,52,1.00001,0.21783,0.4572,1.80773,1.67409,1784736252.7841437
53,1.96422,0,795.81825668,1.48958,53,1.0,0.22471,0.45474,1.79295,1.58833,1784736264.363455
54,1.94984,0,807.345419784,1.47441,54,1.00001,0.22057,0.45834,1.78851,1.58706,1784736275.9178255
55,1.96113,0,818.969278858,1.44028,55,0.99996,0.22177,0.46275,1.76664,1.57562,1784736287.4449375
56,1.94415,0,830.466507069,1.4227,56,1.00003,0.22916,0.45962,1.7585,1.57919,1784736299.0687687
57,1.93907,0,842.002645793,1.45613,57,1.00011,0.22544,0.46768,1.76793,1.55477,1784736310.5660682
58,1.93391,0,853.495811061,1.45791,58,1.0,0.22186,0.46223,1.76689,1.57929,1784736322.1022003
59,1.98854,0,865.126249085,1.40558,59,1.00002,0.21574,0.44951,1.74304,1.62577,1784736333.5953193
60,1.97977,0,876.729401215,1.44515,60,0.99996,0.22921,0.47059,1.75616,1.60593,1784736345.2257514
61,1.97786,0,888.287595675,1.43449,61,0.99998,0.23159,0.47164,1.75231,1.5891,1784736356.8289905
62,1.94411,0,899.981516365,1.43558,62,1.00002,0.23309,0.48642,1.75501,1.56315,1784736368.3870428
63,1.93867,0,911.49332607,1.40344,63,1.00002,0.24154,0.48875,1.7312,1.54345,1784736380.081037
64,1.9579,0,923.087737005,1.41823,64,0.99998,0.22703,0.47199,1.7603,1.60212,1784736391.592852
65,1.92612,0,934.565196505,1.39906,65,0.99997,0.22673,0.45413,1.7237,1.56253,1784736403.187254
66,1.96213,0,946.087473858,1.38508,66,0.99996,0.22656,0.4609,1.73203,1.56919,1784736414.6647995
67,1.97413,0,957.609626559,1.36349,67,0.99999,0.23515,0.4846,1.71826,1.53971,1784736426.187023
68,1.92003,0,969.075425454,1.39877,68,0.99999,0.234,0.47533,1.74137,1.53013,1784736437.7091062
69,1.93927,0,980.569084871,1.36819,69,1.00005,0.23193,0.47771,1.73191,1.57478,1784736449.1749756
70,1.97532,0,992.081279472,1.34244,70,1.00001,0.23157,0.47502,1.71032,1.52164,1784736460.6686935
71,1.93432,0,1003.565916349,1.37803,71,1.00001,0.23294,0.48488,1.73466,1.56444,1784736472.180827
72,1.96546,0,1014.997266784,1.36498,72,0.99997,0.23654,0.48869,1.71423,1.54984,1784736483.665505
73,1.96858,0,1026.579771725,1.34024,73,0.99997,0.2326,0.47997,1.71642,1.56227,1784736495.0967946
74,1.96619,0,1038.14371071,1.34023,74,1.00001,0.2321,0.48747,1.71233,1.53813,1784736506.679301
75,1.92163,0,1049.744075086,1.36468,75,1.00003,0.23295,0.4703,1.6947,1.51858,1784736518.2432559
76,1.93289,0,1061.28207571,1.32928,76,1.00002,0.24283,0.49442,1.68957,1.48257,1784736529.8436408
77,1.9045,0,1072.823699988,1.33449,77,1.00001,0.24128,0.4865,1.69416,1.50386,1784736541.3816123
78,1.94924,0,1084.339128627,1.32799,78,0.99997,0.24123,0.49437,1.69011,1.48366,1784736552.9232206
79,1.94402,0,1095.91673582,1.30383,79,0.99998,0.23388,0.48618,1.68529,1.53079,1784736564.438733
80,1.90754,0,1107.424690432,1.30567,80,1.00001,0.24346,0.4929,1.68781,1.49711,1784736576.0163484
81,1.91557,0,1119.058302662,1.31208,81,1.0,0.23178,0.47104,1.66872,1.52207,1784736587.5242271
82,1.92049,0,1130.530825471,1.30664,82,0.99999,0.24017,0.48802,1.68916,1.51275,1784736599.15786
83,1.92338,0,1142.103779884,1.29632,83,1.00002,0.24227,0.49649,1.6868,1.44645,1784736610.6303651
84,1.92098,0,1153.671313825,1.28265,84,1.00004,0.23382,0.47532,1.67322,1.50065,1784736622.2033598
85,1.94578,0,1165.271608857,1.29576,85,1.00002,0.24056,0.49328,1.68543,1.46118,1784736633.7708735
86,1.92336,0,1176.882285413,1.29701,86,0.99998,0.24456,0.49841,1.66464,1.44258,1784736645.3710995
87,1.89545,0,1188.470202826,1.30003,87,0.99999,0.242,0.48516,1.66712,1.45309,1784736656.9816654
88,1.99142,0,1200.044769876,1.29796,88,1.00003,0.24097,0.49629,1.66309,1.45551,1784736668.569753
89,1.92325,0,1211.656801043,1.25172,89,1.00007,0.24331,0.4914,1.6462,1.46501,1784736680.1443555
90,1.91515,0,1223.189921399,1.28205,90,1.0,0.24259,0.49287,1.65524,1.47862,1784736691.7563503
91,1.95034,0,1234.801869683,1.26545,91,1.0,0.23754,0.48447,1.64914,1.50603,1784736703.289464
92,1.91919,0,1246.381643179,1.26736,92,0.99999,0.25159,0.51293,1.64554,1.42019,1784736714.9013894
93,1.90592,0,1257.919921542,1.25259,93,0.99998,0.2457,0.49499,1.64637,1.43345,1784736726.4811695
94,1.91784,0,1269.485558593,1.25828,94,0.99992,0.23999,0.49129,1.63624,1.44179,1784736738.0194688
95,1.92173,0,1280.975824308,1.25535,95,0.99995,0.24766,0.50125,1.6432,1.44698,1784736749.5851307
96,1.90286,0,1292.4920653,1.23937,96,0.99998,0.23943,0.48424,1.63703,1.50247,1784736761.0753927
97,1.92718,0,1303.970029286,1.25703,97,1.00001,0.24376,0.50309,1.63536,1.44446,1784736772.5916147
98,1.91452,0,1315.504796943,1.23608,98,0.99998,0.24788,0.50434,1.62592,1.42563,1784736784.069548
99,1.92387,0,1327.014579261,1.23598,99,0.99999,0.24566,0.49861,1.63421,1.425,1784736795.6043167
100,1.92017,0,1343.374448196,1.23323,100,1.00005,0.24421,0.49573,1.61894,1.42044,1784736807.114086
101,1.93107,0,1360.05858971,1.21471,101,1.00002,0.25311,0.50848,1.62619,1.40289,1784736823.4739385
102,1.90745,0,1371.613053875,1.21143,102,1.00002,0.25242,0.50656,1.61958,1.40158,1784736840.158109
103,1.92182,0,1383.886873239,1.21583,103,1.00004,0.24862,0.49778,1.62044,1.45351,1784736851.7125902
104,1.91781,0,1395.393168957,1.2135,104,1.00001,0.24971,0.50873,1.6192,1.42217,1784736863.9864316
105,1.91616,0,1406.99128817,1.18933,105,0.99993,0.24591,0.48882,1.61404,1.4226,1784736875.492661
106,1.93879,0,1418.508270776,1.21535,106,0.99996,0.24349,0.49937,1.62465,1.41634,1784736887.09084
107,1.8971,0,1430.096298242,1.20472,107,0.99999,0.24612,0.50387,1.59883,1.41511,1784736898.6078234
108,1.91414,0,1441.728909037,1.20627,108,1.00002,0.25435,0.51846,1.59748,1.41303,1784736910.1955192
109,1.87783,0,1453.335038416,1.2049,109,1.0,0.25708,0.52446,1.60749,1.41125,1784736921.8284483
110,1.93403,0,1464.939022509,1.20665,110,0.99997,0.25181,0.51933,1.5985,1.38017,1784736933.4345918
111,1.88959,0,1476.525910441,1.21757,111,0.99998,0.25089,0.51642,1.62147,1.40072,1784736945.038561
112,1.89237,0,1488.083637309,1.22508,112,0.99999,0.25223,0.51256,1.61035,1.4017,1784736956.6254447
113,1.89826,0,1499.607655449,1.19287,113,1.00001,0.25358,0.5163,1.59779,1.36675,1784736968.1832664
114,1.89849,0,1511.137577857,1.19116,114,1.00002,0.25287,0.51438,1.58936,1.38417,1784736979.707232
115,1.89529,0,1522.733204948,1.19324,115,1.00001,0.25112,0.50858,1.58657,1.39106,1784736991.2370827
116,1.91057,0,1537.607010983,1.19011,116,0.99998,0.25251,0.51418,1.58879,1.38848,1784737002.8327482
117,1.91223,0,1551.485248618,1.17946,117,0.99999,0.25373,0.51651,1.57681,1.36945,1784737017.706504
118,1.91628,0,1563.077096771,1.1803,118,0.99998,0.25214,0.51326,1.56893,1.40338,1784737031.584867
119,1.88602,0,1574.725139451,1.17188,119,0.99999,0.25457,0.52107,1.5703,1.35012,1784737043.176641
120,1.90491,0,1586.31039323,1.15843,120,0.99999,0.25605,0.52091,1.56299,1.35286,1784737054.824706
121,1.91019,0,1597.938638564,1.16015,121,1.00001,0.25782,0.51828,1.57648,1.36183,1784737066.4098718
122,1.89454,0,1609.662042951,1.16906,122,1.00001,0.2592,0.51823,1.57551,1.36234,1784737078.0381725
123,1.89492,0,1621.391295433,1.15199,123,1.00003,0.25919,0.52321,1.55929,1.35207,1784737089.7615523
124,1.88527,0,1632.953958632,1.15058,124,0.99998,0.25511,0.51283,1.57568,1.35963,1784737101.489283
125,1.90652,0,1644.504149624,1.15672,125,1.0,0.25633,0.51991,1.57255,1.33387,1784737113.0534573
126,1.92099,0,1656.133355566,1.14794,126,0.99999,0.25097,0.51286,1.55291,1.36324,1784737124.6036434
127,1.92462,0,1667.720048134,1.15343,127,0.99999,0.25887,0.52338,1.57024,1.3465,1784737136.2328918
128,1.90676,0,1679.317881576,1.16428,128,0.99998,0.25574,0.51726,1.56456,1.3586,1784737147.8195686
129,1.91467,0,1690.910730127,1.16172,129,0.99999,0.25577,0.52865,1.57232,1.3545,1784737159.417418
130,1.91968,0,1702.543055949,1.13876,130,1.00002,0.25832,0.5213,1.54833,1.34222,1784737171.010277
131,1.92431,0,1714.081970083,1.14489,131,1.00001,0.26056,0.52162,1.5507,1.35893,1784737182.642622
132,1.91663,0,1725.689979319,1.12111,132,1.00002,0.25946,0.52726,1.54001,1.34004,1784737194.1814952
133,1.90883,0,1737.256008415,1.15166,133,0.99998,0.25954,0.52856,1.55556,1.32862,1784737205.7894237
134,1.91035,0,1748.881845258,1.12958,134,0.99999,0.2615,0.52722,1.54321,1.36199,1784737217.3555377
135,1.90088,0,1760.489038393,1.13552,135,0.99999,0.26235,0.52488,1.55055,1.33481,1784737228.981132
136,1.90532,0,1772.103179679,1.13322,136,1.00001,0.25947,0.52211,1.5407,1.33984,1784737240.588562
137,1.92323,0,1783.657002919,1.12463,137,1.0,0.26146,0.52687,1.54028,1.33524,1784737252.2027216
138,1.92004,0,1795.246471888,1.11394,138,0.99999,0.25945,0.52711,1.53715,1.34651,1784737263.7565322
139,1.90935,0,1807.302121851,1.13534,139,0.99998,0.25561,0.51723,1.5459,1.33421,1784737275.3458567
140,1.90593,0,1818.865462377,1.09799,140,0.99999,0.26408,0.52947,1.52324,1.32269,1784737287.4016433
141,1.93373,0,1830.385936217,1.09564,141,1.0,0.26068,0.52082,1.5228,1.33298,1784737298.96488
142,1.92196,0,1841.922079463,1.12388,142,1.00001,0.26131,0.52574,1.53492,1.33016,1784737310.4853623
143,1.91911,0,1853.460624363,1.113,143,1.00001,0.25981,0.52511,1.53376,1.33862,1784737322.0216014
144,1.9223,0,1864.998410672,1.109,144,1.00002,0.25541,0.51638,1.52864,1.34848,1784737333.5601447
145,1.90108,0,1876.529937058,1.09653,145,1.00001,0.26286,0.52502,1.5182,1.32524,1784737345.0978985
146,1.89153,0,1888.094506473,1.10769,146,1.0,0.26371,0.52929,1.53475,1.33732,1784737356.6294444
147,1.89403,0,1899.637929813,1.10362,147,0.99999,0.26307,0.5261,1.53042,1.32567,1784737368.1940339
148,1.90591,0,1911.155038478,1.06963,148,0.99999,0.26138,0.52556,1.4909,1.33847,1784737379.7374558
149,1.91199,0,1922.669207224,1.11568,149,1.0,0.25716,0.52035,1.53605,1.32806,1784737391.2545917
150,1.91505,0,1934.157002839,1.10422,150,1.0,0.26263,0.5303,1.51477,1.31871,1784737402.768703
