_step,val/box_loss,val/moe_loss,_runtime,train/cls_loss,epoch,train/moe_loss,mAP50-95,mAP50,train/box_loss,val/cls_loss,_timestamp
1,3.63259,0,29.196196887,4.63091,1,3.02131,0.00013,0.0005,3.58007,4.73259,1784649252.9298036
2,3.62739,0,41.415630318,4.32901,2,1.83877,0.00018,0.00072,3.46482,4.73086,1784649266.16726
3,3.34908,0,54.589584907,3.86071,3,1.45862,0.00153,0.00594,3.22693,4.66377,1784649278.386652
4,3.22791,0,67.604367973,3.37395,4,1.27458,0.00809,0.02693,2.96697,9.93059,1784649291.5607002
5,2.97311,0,80.646034904,3.03578,5,1.17363,0.0368,0.10474,2.80952,5.18581,1784649304.5754414
6,2.63913,0,93.828903138,2.85777,6,1.11048,0.04188,0.11459,2.66329,3.13221,1784649317.6170502
7,2.56888,0,106.897798444,2.72356,7,1.07297,0.06518,0.16796,2.56118,3.29596,1784649330.8000057
8,2.47756,0,120.103102069,2.62204,8,1.04714,0.08333,0.21391,2.46221,2.81646,1784649343.8689268
9,2.4516,0,133.261668648,2.48625,9,1.03072,0.08475,0.2119,2.36352,2.73839,1784649357.0743186
10,2.40239,0,146.308818485,2.46148,10,1.0193,0.10208,0.24706,2.36293,2.71249,1784649370.2327118
11,2.44403,0,159.364395238,2.3983,11,1.0107,0.10594,0.25575,2.2825,2.61078,1784649383.2798615
12,2.33342,0,172.188359779,2.30501,12,1.00638,0.11517,0.26561,2.24106,2.53951,1784649396.3354273
13,2.35173,0,185.294803955,2.26047,13,1.00323,0.11254,0.27515,2.21995,2.49023,1784649409.1592674
14,2.28466,0,198.303688065,2.23687,14,1.001,0.11625,0.26861,2.21141,2.56695,1784649422.2658134
15,2.26754,0,211.404769878,2.15829,15,0.99809,0.12837,0.29106,2.17029,2.38763,1784649435.274729
16,2.25544,0,224.472700719,2.09992,16,0.99718,0.13075,0.29835,2.13652,2.33086,1784649448.3758147
17,2.25787,0,237.542943165,2.11573,17,0.99619,0.13411,0.30101,2.13272,2.26725,1784649461.443764
18,2.20831,0,250.489998463,2.07312,18,0.9958,0.14027,0.3059,2.12318,2.21316,1784649474.5139601
19,2.28923,0,263.493320081,2.01906,19,0.99703,0.12267,0.28196,2.08687,2.5492,1784649487.4608796
20,2.21845,0,276.261808359,2.02189,20,0.99514,0.14841,0.32826,2.08884,2.17932,1784649500.4641297
21,2.19282,0,289.324171117,1.98277,21,0.99565,0.1426,0.32296,2.06385,2.11599,1784649513.2328854
22,2.16554,0,302.129459925,1.96204,22,0.99568,0.15882,0.34524,2.05174,2.07494,1784649526.295239
23,2.30935,0,314.973864314,1.93293,23,0.99522,0.14104,0.3197,2.02812,2.17826,1784649539.1005006
24,2.18442,0,327.948652798,1.90677,24,0.99514,0.15649,0.35383,2.0198,2.12291,1784649551.9449084
25,2.13237,0,340.797905584,1.918,25,0.99498,0.16058,0.34607,2.02451,2.05643,1784649564.919517
