_step,val/box_loss,val/moe_loss,_runtime,train/cls_loss,epoch,train/moe_loss,mAP50-95,mAP50,train/box_loss,val/cls_loss,_timestamp
1,5.8416,0,140.849973174,5.90329,1,1.63301,0.0,0.0,5.52338,6.30774,1784813475.2051172
2,3.35364,0,201.346095618,4.88287,2,1.04117,0.00327,0.01025,4.863,8.49291,1784813540.5392902
3,2.58639,0,263.558112151,2.80043,3,0.99898,0.01785,0.04305,3.0426,3.0017,1784813601.0354085
4,2.13134,0,325.440171315,2.28478,4,0.99952,0.03203,0.06905,2.46748,1.91407,1784813663.2473156
5,2.06644,0,387.020687425,1.99706,5,0.99964,0.03906,0.08264,2.1829,1.87052,1784813725.1294188
6,1.95591,0,449.117125015,1.83318,6,0.99991,0.05031,0.10193,2.03202,1.64241,1784813786.709953
7,1.81432,0,510.96774891,1.7165,7,0.99995,0.06191,0.12204,1.95261,1.51549,1784813848.806321
8,1.79803,0,572.606688584,1.64995,8,0.99996,0.06272,0.12362,1.89636,1.48879,1784813910.6570792
9,1.71344,0,634.399218243,1.57877,9,0.99994,0.07697,0.14921,1.83768,1.4322,1784813972.295944
10,1.67277,0,696.244557012,1.52733,10,1.00001,0.07974,0.14939,1.80802,1.37035,1784814034.088529
11,1.64843,0,758.02544765,1.486,11,0.99999,0.08531,0.15937,1.77291,1.34555,1784814095.9338734
12,1.63558,0,819.60439353,1.45276,12,0.99999,0.09248,0.17573,1.74735,1.32238,1784814157.7146018
13,1.60597,0,881.283876169,1.40668,13,0.99998,0.0951,0.17882,1.70807,1.28543,1784814219.2936456
14,1.58547,0,942.936626808,1.38685,14,0.99999,0.09934,0.18448,1.69489,1.264,1784814280.97316
15,1.55431,0,1004.574014486,1.365,15,0.99999,0.10176,0.1876,1.68686,1.24045,1784814342.6259456
16,1.5585,0,1065.956101092,1.33813,16,1.0,0.10349,0.18942,1.65839,1.22308,1784814404.263334
17,1.52602,0,1127.408189521,1.32827,17,1.0,0.11424,0.2078,1.64277,1.20658,1784814465.645447
18,1.51845,0,1188.895837775,1.31474,18,0.99999,0.11632,0.21277,1.63782,1.18608,1784814527.0975025
19,1.50058,0,1250.384552819,1.28982,19,0.99999,0.1192,0.21814,1.61585,1.17356,1784814588.5850768
20,1.50963,0,1311.835423735,1.28378,20,1.0,0.11824,0.21835,1.61831,1.16968,1784814650.0738356
21,1.48177,0,1373.321789963,1.26567,21,1.0,0.12328,0.22198,1.59696,1.15126,1784814711.524743
22,1.47675,0,1435.067270237,1.24741,22,0.99999,0.12361,0.22338,1.58353,1.16663,1784814773.011007
23,1.4526,0,1496.484146458,1.24725,23,1.0,0.1295,0.2333,1.57629,1.13198,1784814834.7565987
24,1.45719,0,1557.963347549,1.22928,24,1.00001,0.13085,0.23512,1.56682,1.12086,1784814896.1734784
25,1.45165,0,1619.630989345,1.22012,25,0.99999,0.13296,0.23887,1.55946,1.11601,1784814957.6524234
26,1.43033,0,1680.876940145,1.20674,26,1.00001,0.13564,0.24379,1.55022,1.09856,1784815019.3202653
27,1.43204,0,1742.378736923,1.20861,27,1.0,0.13738,0.24579,1.54928,1.0919,1784815080.5662174
28,1.4277,0,1803.807972446,1.1968,28,0.99999,0.1394,0.24829,1.54038,1.09675,1784815142.0680609
29,1.41739,0,1865.283600601,1.18918,29,1.00001,0.13813,0.24734,1.53618,1.08098,1784815203.497186
30,1.41302,0,1926.786746653,1.17833,30,0.99999,0.14253,0.25515,1.52739,1.06947,1784815264.972918
31,1.39803,0,2017.619276815,1.17234,31,1.0,0.14271,0.25435,1.51625,1.0765,1784815326.4760985
32,1.40056,0,2078.848111303,1.16757,32,1.00001,0.14521,0.25786,1.51829,1.05953,1784815417.3085496
33,1.40602,0,2140.160902429,1.16267,33,1.00001,0.14491,0.26064,1.51335,1.05667,1784815478.5373528
34,1.39246,0,2201.742943799,1.15235,34,0.99999,0.14586,0.25926,1.49882,1.05762,1784815539.8501768
35,1.38679,0,2263.022453346,1.13428,35,1.00001,0.14895,0.26367,1.49069,1.05601,1784815601.4321513
36,1.40419,0,2324.413717465,1.14463,36,1.0,0.14726,0.26216,1.49383,1.04783,1784815662.7117183
37,1.37914,0,2385.656029582,1.13836,37,1.0,0.1501,0.26612,1.49246,1.04258,1784815724.1030335
38,1.38408,0,2447.370770754,1.13543,38,1.0,0.14893,0.26312,1.48311,1.04592,1784815785.3454273
39,1.38263,0,2508.756048948,1.12192,39,1.00001,0.15048,0.26604,1.46966,1.0485,1784815847.0600693
40,1.36534,0,2570.168256401,1.1291,40,0.99999,0.15266,0.26938,1.47777,1.03489,1784815908.4453554
41,1.37518,0,2631.674285883,1.12105,41,1.0,0.15383,0.27257,1.47669,1.02377,1784815969.8576748
42,1.36016,0,2693.080454585,1.10882,42,1.0,0.15573,0.27508,1.46165,1.02272,1784816031.363608
43,1.36183,0,2754.47220026,1.10933,43,1.0,0.15488,0.27481,1.46664,1.02218,1784816092.7697737
44,1.35692,0,2815.954337037,1.10747,44,1.0,0.15811,0.28075,1.4682,1.01032,1784816154.161499
45,1.35378,0,2877.50518991,1.09749,45,1.0,0.15931,0.28139,1.45557,1.00674,1784816215.6436193
46,1.34607,0,2939.531450998,1.0959,46,1.0,0.15903,0.27803,1.45492,1.00632,1784816277.1943882
47,1.35018,0,3001.269354619,1.09277,47,1.0,0.15969,0.27996,1.44892,1.00738,1784816339.2206953
48,1.34737,0,3063.101156526,1.08244,48,1.0,0.16121,0.28362,1.44348,1.005,1784816400.9587095
49,1.34004,0,3124.59528471,1.08563,49,1.0,0.16286,0.28535,1.44694,1.0017,1784816462.7904558
50,1.33648,0,3186.033785567,1.08908,50,1.00001,0.16452,0.28668,1.4503,0.99881,1784816524.2845821
51,1.33355,0,3247.45829246,1.083,51,1.0,0.16397,0.28737,1.4432,0.99269,1784816585.7230515
52,1.33755,0,3308.868466407,1.07084,52,1.0,0.16472,0.2871,1.4285,0.98608,1784816647.1475368
53,1.33234,0,3370.389093288,1.06946,53,1.0,0.16574,0.28864,1.4297,0.98775,1784816708.5577462
54,1.33138,0,3431.737573546,1.06969,54,1.0,0.16498,0.28781,1.43759,0.98111,1784816770.078366
55,1.32589,0,3493.334229775,1.06189,55,1.0,0.16747,0.29249,1.42737,0.98011,1784816831.4268394
56,1.3267,0,3554.800877614,1.05989,56,1.0,0.16828,0.29395,1.4215,0.97757,1784816893.0234663
57,1.3233,0,3616.360610787,1.06085,57,1.0,0.16843,0.29533,1.42322,0.97926,1784816954.49001
58,1.31946,0,3677.689490465,1.06065,58,1.0,0.17125,0.29967,1.4165,0.97328,1784817016.0500019
59,1.31537,0,3739.368957807,1.05508,59,1.0,0.1701,0.29818,1.42327,0.96884,1784817077.3788276
60,1.31265,0,3800.823460438,1.04875,60,1.0,0.17243,0.30032,1.41128,0.96886,1784817139.0582273
61,1.31587,0,3862.278428987,1.04953,61,1.0,0.17176,0.30059,1.41293,0.96555,1784817200.512762
62,1.31745,0,3923.419565976,1.04349,62,1.0,0.1695,0.29618,1.4119,0.96697,1784817261.9677436
63,1.31249,0,3984.726836728,1.04475,63,1.0,0.17214,0.29983,1.41248,0.96264,1784817323.1089036
64,1.31183,0,4046.081426848,1.04407,64,1.0,0.17184,0.30132,1.41087,0.96288,1784817384.4161978
