_step,val/box_loss,val/moe_loss,_runtime,train/cls_loss,epoch,train/moe_loss,mAP50-95,mAP50,train/box_loss,val/cls_loss,_timestamp
1,5.82902,0,148.218592044,5.86051,1,1.69509,2e-05,5e-05,5.49556,5.50377,1784782916.39724
2,3.10785,0,214.197390777,3.95213,2,1.03679,0.00942,0.02635,4.04023,2.96565,1784782987.3868003
3,2.6471,0,282.15856394,2.56603,3,0.99107,0.01956,0.0489,2.77168,3.29956,1784783053.3655858
4,2.08749,0,349.695380039,2.18904,4,0.97887,0.03577,0.0772,2.3473,1.97972,1784783121.3269017
5,1.94716,0,416.772399277,1.96386,5,0.97376,0.04775,0.09945,2.14704,1.98024,1784783188.8635404
6,1.88309,0,483.633341326,1.81678,6,0.97426,0.05479,0.11313,2.01686,1.62969,1784783255.940568
7,1.82515,0,550.824136741,1.71079,7,0.97667,0.06314,0.12445,1.94989,1.53057,1784783322.8015842
8,1.75227,0,617.07493003,1.65865,8,0.98006,0.06864,0.13191,1.89595,1.4802,1784783389.9923356
9,1.71049,0,683.056779463,1.59391,9,0.98385,0.07528,0.14371,1.84205,1.4217,1784783456.2431927
10,1.6968,0,749.203436842,1.55218,10,0.98714,0.07534,0.1446,1.817,1.38794,1784783522.224797
11,1.63121,0,815.168836217,1.51257,11,0.98961,0.08688,0.16341,1.78688,1.35655,1784783588.3717275
12,1.64974,0,879.305001105,1.4873,12,0.99188,0.08735,0.16723,1.76372,1.34581,1784783654.3370662
13,1.61142,0,942.763319569,1.44307,13,0.99552,0.09211,0.17556,1.72546,1.30706,1784783718.473306
14,1.60396,0,1006.202162646,1.43036,14,0.99552,0.09434,0.17638,1.71703,1.282,1784783781.9314225
15,1.57541,0,1069.639664475,1.40791,15,0.99712,0.09836,0.18464,1.71082,1.26365,1784783845.3703759
16,1.55506,0,1132.82050686,1.38699,16,0.99765,0.1025,0.19022,1.68279,1.2492,1784783908.8078551
17,1.55971,0,1195.844832314,1.37359,17,0.99877,0.1081,0.1996,1.67002,1.23532,1784783971.9886248
18,1.53884,0,1258.793420403,1.36169,18,0.99878,0.10924,0.20082,1.66402,1.23289,1784784035.0130556
19,1.51789,0,1321.63539135,1.33911,19,0.99934,0.11167,0.20543,1.64352,1.20772,1784784097.9616277
20,1.51915,0,1384.154163301,1.33042,20,1.00027,0.11289,0.20774,1.64529,1.19252,1784784160.8034575
21,1.50406,0,1446.306734724,1.31717,21,1.00011,0.11899,0.21581,1.62809,1.17773,1784784223.3224642
22,1.50577,0,1508.751192273,1.30062,22,1.00035,0.11799,0.21805,1.61582,1.1819,1784784285.4750044
23,1.48092,0,1570.800957796,1.29987,23,0.99974,0.12357,0.22414,1.60974,1.17068,1784784347.919368
24,1.47691,0,1633.304940314,1.2797,24,1.00088,0.12561,0.22885,1.59818,1.15503,1784784409.9691348
25,1.47191,0,1695.661098463,1.27327,25,0.99954,0.12827,0.23357,1.59393,1.14968,1784784472.473108
26,1.46321,0,1758.346822356,1.25623,26,1.00026,0.1279,0.2327,1.58251,1.13856,1784784534.8293004
27,1.45982,0,1820.666586966,1.25849,27,0.99989,0.13108,0.23746,1.5813,1.13752,1784784597.515061
28,1.45406,0,1883.022882669,1.24674,28,0.99969,0.1275,0.23053,1.57336,1.14182,1784784659.8346148
29,1.44535,0,1945.484439694,1.23893,29,0.99964,0.13355,0.24462,1.56718,1.12091,1784784722.191198
30,1.42589,0,2008.16490141,1.22806,30,1.00058,0.13504,0.24212,1.5603,1.11084,1784784784.6523883
31,1.42939,0,2070.713892136,1.22045,31,0.99949,0.13589,0.24665,1.54989,1.10058,1784784847.3331547
32,1.43023,0,2132.995408174,1.21293,32,1.00028,0.13571,0.24654,1.54833,1.10056,1784784909.8822415
33,1.41984,0,2195.243581831,1.20792,33,0.99964,0.13997,0.25127,1.54164,1.09905,1784784972.163672
34,1.41414,0,2257.552680786,1.19888,34,1.00045,0.14164,0.25457,1.53037,1.08695,1784785034.411861
35,1.41426,0,2319.861898348,1.18052,35,0.99985,0.14265,0.25559,1.52299,1.08272,1784785096.7208443
36,1.41425,0,2382.635134395,1.19105,36,1.00004,0.14386,0.2578,1.52625,1.08318,1784785159.0299282
37,1.4019,0,2445.204587668,1.18305,37,0.99959,0.1469,0.26068,1.52336,1.07347,1784785221.803351
38,1.39978,0,2508.176392054,1.17697,38,1.00065,0.14693,0.26148,1.51442,1.06552,1784785284.3728383
39,1.39727,0,2570.80321041,1.16344,39,0.99957,0.14567,0.26195,1.50197,1.06418,1784785347.3444316
40,1.39268,0,2633.056907676,1.17179,40,0.99995,0.14781,0.26429,1.50871,1.06463,1784785409.9712672
41,1.38868,0,2695.60575523,1.16233,41,0.99957,0.1473,0.26305,1.50713,1.0621,1784785472.225083
42,1.38754,0,2758.37338679,1.14902,42,1.00078,0.15133,0.26984,1.49104,1.05306,1784785534.7739093
43,1.37987,0,2821.336557414,1.1501,43,0.99958,0.15161,0.26863,1.49774,1.05684,1784785597.5416405
44,1.37757,0,2884.247352999,1.14947,44,0.99995,0.15121,0.26901,1.49816,1.05194,1784785660.5047963
45,1.37745,0,2946.318520206,1.13779,45,1.00063,0.15182,0.27005,1.48336,1.05141,1784785723.4155967
46,1.36915,0,3008.917863578,1.13928,46,0.99988,0.1545,0.27263,1.48654,1.04125,1784785785.4867606
47,1.3708,0,3071.099290233,1.13688,47,0.99974,0.15545,0.27426,1.48111,1.03959,1784785848.0861273
48,1.36343,0,3133.436388859,1.12411,48,1.00037,0.15755,0.27964,1.47577,1.03221,1784785910.26756
49,1.36103,0,3195.732969604,1.12708,49,0.99942,0.15502,0.27554,1.47601,1.03783,1784785972.6045802
50,1.36218,0,3257.83987332,1.12889,50,0.99984,0.16005,0.28245,1.48018,1.02857,1784786034.9011347
51,1.3588,0,3320.085726682,1.11975,51,1.00085,0.1599,0.28262,1.47471,1.02743,1784786097.008113
52,1.35838,0,3382.490906476,1.10667,52,1.00019,0.15961,0.28247,1.45672,1.01881,1784786159.2539399
53,1.35588,0,3444.769043623,1.10652,53,0.99951,0.16001,0.28301,1.45748,1.02207,1784786221.6591587
54,1.35217,0,3506.921230679,1.10739,54,0.99965,0.15899,0.28045,1.46973,1.01796,1784786283.93734
